48,9.78896E+12,반도체 소자 공학 (제2판),"Betty Lise Anderson, Richard L. Anderson",한티미디어,전공
49,9.78893E+12,배명진교수의 소리로 읽는 세상,배명진,김영사,기타
50,9.7912E+12,비전공자를 위한 이해할 수 있는 IT 지식 (IT시대의 필수 교양서),최원영,티더블유아이지,기타
51,9.79119E+12,"사용자를 사로잡는 UX/UI 실전 가이드 (시장에서 살아남는 화면 설계와 스마트한 데이터 활용법, 현실적인 브랜딩)",김성연(우디),루비페이퍼,디자인
52,9.79119E+12,선형대수학과 응용 (제10판),"Steven J. Leon, Lisette de Pillis",한티에듀,전공
53,9.79117E+12,쉽고 빠른 플러터 앱 개발 (Flutter & Dart로 화면 구현ㆍ상태 관리ㆍ데이터 처리ㆍ디자인 패턴 익히기),권태형,비제이퍼블릭,프로그래밍
54,9.78898E+12,스페인어 첫걸음의 모든 것 (회화편+문법편),박기호,동양문고,기타
55,9.79119E+12,신호 및 시스템 (개정 2판),"S. Hamid Nawab, Alan S. Willsky",퍼스트북,전공
56,9.79119E+12,어서와 C++는 처음이지! (최신버전 C++14 반영) ,천인국,인피니티북스,프로그래밍
57,9.79119E+12,"업무와 일상을 정리하는 새로운 방법 노션 Notion (생각 정리부터 업무 생산성, 협업 관리 도구를 노션 하나로!)","이해봄, 전시진",제이펍,기타
58,9.78899E+12,오뒷세이아,호메로스 저,숲,기타
59,9.789E+12,윤성우의 열혈 C 프로그래밍 (개정판),윤성우,오렌지미디어,프로그래밍
60,9.789E+12,윤성우의 열혈 TCP/IP 소켓 프로그래밍(2010) (개정판),윤성우,오렌지미디어,기타
61,9.78897E+12,"이것이 C 언어다, 서현우의 C 프로그래밍 정복",서현우,한빛미디어,프로그래밍
62,9.79116E+12,이것이 취업을 위한 코딩 테스트다 with 파이썬 (취업과 이직을 결정하는 알고리즘 인터뷰 완벽 가이드),나동빈,한빛미디어,기타
63,9.78897E+12,이케다 다이사쿠 명언 100선,이케다 다이사쿠,매일경제신문사,기타
64,9.78894E+12,일반화학,대학화학교재연구회,동화기술,전공
65,9.79116E+12,일본어 한자쓰기 기초 419 (초급단계에서 가장 기본이 되는 한자),오미영,제이앤씨,기타
66,9.79116E+12,일본어 한자쓰기 기초 420 (초급단계에서 가장 기본이 되는 한자),오미영,제이앤씨,기타
67,9.78896E+12,자동차와 생활,홍명석,선학출판사,전공
68,9.7889E+12,자신 있게 결정하라 (불확실함에 맞서는 생각의 프로세스),"칩 히스, 댄 히스",웅진지식하우스,기타
69,9.78896E+12,전기기기 ELECTRIC MACHINES,MULUKUTLA S. SARMA,한티미디어,전공
70,9.78896E+12,"전력계통 해석 및 설계 (해석 및 설계, 제6판)","glover, Thomas J Overbye, Mulukla S.Sarma",북스힐,전공
71,9.79119E+12,전자기학,"Matthew N. O. Sadiku, Sudarshan R. Nelatury",진샘미디어,전공
72,9.79119E+12,조직과 리더십,이상호,북넷,전공
73,9.78893E+12,처음 만나는 문화인류학,한국문화인류학회,일조각,기타
74,9.78895E+12,체크 체크리스트 (완벽한 사람은 마지막 2분이 다르다),아툴 가완디,21세기북스,기타
75,9.78897E+12,최신 공업수학,ERWIN KREYSZIG,범한서적,전공
76,9.78896E+12,최신 대학물리학,Ramond A. Serway,북스힐,전공
77,9.79116E+12,최신 대학물리학 2 , Raymond A. Serway,북스힐,전공
